archived_on,date_ym,n,n_id,n_id_distinct,dataset
24/04/2025,1989-03,45,45,40,msds_v2_diagnoses_and_history
24/04/2025,1987-02,35,35,30,msds_v2_diagnoses_and_history
24/04/2025,2018-08,20080,20080,6980,msds_v2_diagnoses_and_history
24/04/2025,2006-02,90,90,75,msds_v2_diagnoses_and_history
24/04/2025,1995-04,85,85,80,msds_v2_diagnoses_and_history
24/04/2025,1991-09,50,50,50,msds_v2_diagnoses_and_history
24/04/2025,1999-06,85,85,80,msds_v2_diagnoses_and_history
24/04/2025,2010-10,725,725,375,msds_v2_diagnoses_and_history
24/04/2025,2024-09,133800,133800,53600,msds_v2_diagnoses_and_history
24/04/2025,1979-04,10,10,10,msds_v2_diagnoses_and_history
24/04/2025,2014-07,3445,3445,1135,msds_v2_diagnoses_and_history
24/04/2025,1988-02,45,45,45,msds_v2_diagnoses_and_history
24/04/2025,1994-06,120,120,110,msds_v2_diagnoses_and_history
24/04/2025,1983-06,15,15,10,msds_v2_diagnoses_and_history
24/04/2025,1979-05,10,10,10,msds_v2_diagnoses_and_history
24/04/2025,1997-05,75,75,75,msds_v2_diagnoses_and_history
24/04/2025,1986-08,15,15,15,msds_v2_diagnoses_and_history
24/04/2025,1980-09,10,10,10,msds_v2_diagnoses_and_history
24/04/2025,2021-02,87100,87090,23460,msds_v2_diagnoses_and_history
24/04/2025,1982-05,10,10,10,msds_v2_diagnoses_and_history
24/04/2025,1983-02,10,10,10,msds_v2_diagnoses_and_history
24/04/2025,2025-01,137130,137130,54995,msds_v2_diagnoses_and_history
24/04/2025,2008-09,495,495,255,msds_v2_diagnoses_and_history
24/04/2025,2015-02,4825,4825,1320,msds_v2_diagnoses_and_history
24/04/2025,1976-12,10,10,10,msds_v2_diagnoses_and_history
24/04/2025,2008-01,11240,11240,9910,msds_v2_diagnoses_and_history
24/04/2025,2017-08,9410,9410,2310,msds_v2_diagnoses_and_history
24/04/2025,2022-11,171105,171100,52765,msds_v2_diagnoses_and_history
24/04/2025,2004-03,95,95,85,msds_v2_diagnoses_and_history
24/04/2025,1998-01,14940,14940,13650,msds_v2_diagnoses_and_history
24/04/2025,2001-02,60,60,55,msds_v2_diagnoses_and_history
24/04/2025,1998-06,120,120,115,msds_v2_diagnoses_and_history
24/04/2025,1986-07,30,30,25,msds_v2_diagnoses_and_history
24/04/2025,2004-04,75,75,60,msds_v2_diagnoses_and_history
24/04/2025,1996-11,40,40,40,msds_v2_diagnoses_and_history
24/04/2025,1981-08,10,10,10,msds_v2_diagnoses_and_history
24/04/2025,1994-09,50,50,45,msds_v2_diagnoses_and_history
24/04/2025,1987-05,25,25,20,msds_v2_diagnoses_and_history
24/04/2025,1987-03,30,30,30,msds_v2_diagnoses_and_history
24/04/2025,1983-08,10,10,10,msds_v2_diagnoses_and_history
24/04/2025,2017-06,9680,9680,2475,msds_v2_diagnoses_and_history
24/04/2025,1994-12,35,35,35,msds_v2_diagnoses_and_history
24/04/2025,1981-12,10,10,10,msds_v2_diagnoses_and_history
24/04/2025,1981-01,265,265,245,msds_v2_diagnoses_and_history
