dataset,date_ym,n,n_id,n_id_distinct
a_e,2011-01,116205,116205,104370
a_e,2011-02,104900,104900,94805
a_e,2011-03,122560,122560,109945
a_e,2011-04,121695,121695,108960
a_e,2011-05,126090,126090,113195
a_e,2011-06,120385,120385,108125
a_e,2011-07,121280,121280,108435
a_e,2011-08,120705,120705,108455
a_e,2011-09,120830,120830,108735
a_e,2011-10,117615,117615,105815
a_e,2011-11,113225,113225,102095
a_e,2011-12,114750,114750,103300
a_e,2012-01,115930,115930,104255
a_e,2012-02,113855,113855,102430
a_e,2012-03,132225,132225,118425
a_e,2012-04,122345,122345,109855
a_e,2012-05,131405,131405,117745
a_e,2012-06,122560,122560,110060
a_e,2012-07,118405,118405,106130
a_e,2012-08,126305,126305,113115
a_e,2012-09,122800,122800,110510
a_e,2012-10,119125,119125,107040
a_e,2012-11,115675,115675,104245
a_e,2012-12,119190,119190,107280
a_e,2013-01,113890,113890,102510
a_e,2013-02,108965,108965,98425
a_e,2013-03,120145,120145,108045
a_e,2013-04,122005,122005,109855
a_e,2013-05,127115,127115,114275
a_e,2013-06,125780,125780,112800
a_e,2013-07,128815,128815,115395
a_e,2013-08,127215,127215,114155
a_e,2013-09,123060,123060,110950
a_e,2013-10,120050,120050,108095
a_e,2013-11,114720,114720,103490
a_e,2013-12,115540,115540,103920
a_e,2014-01,118280,118280,106385
a_e,2014-02,112515,112515,101780
a_e,2014-03,130000,130000,116905
a_e,2014-04,124150,124150,111645
a_e,2014-05,132940,132940,119060
a_e,2014-06,131030,131030,117615
a_e,2014-07,128630,128630,115140
a_e,2014-08,126115,126115,113350
a_e,2014-09,129355,129355,115995
a_e,2014-10,121910,121910,109440
a_e,2014-11,120105,120105,107780
a_e,2014-12,118415,118415,106415
a_e,2015-01,118760,118760,107050
a_e,2015-02,111450,111450,100905
a_e,2015-03,126370,126370,113985
a_e,2015-04,122905,122905,110455
a_e,2015-05,125250,125250,112815
a_e,2015-06,121915,121915,109905
a_e,2015-07,117365,117365,105460
a_e,2015-08,126480,126480,113500
a_e,2015-09,124365,124365,111900
a_e,2015-10,121400,121400,109085
a_e,2015-11,117455,117455,105725
a_e,2015-12,113955,113955,102560
a_e,2016-01,118720,118720,106805
a_e,2016-02,117700,117700,106405
a_e,2016-03,132890,132890,119075
a_e,2016-04,120840,120840,108705
a_e,2016-05,134300,134300,120385
a_e,2016-06,126105,126105,113460
a_e,2016-07,121330,121330,108605
a_e,2016-08,126500,126500,113745
a_e,2016-09,130655,130655,117475
a_e,2016-10,127270,127270,114100
a_e,2016-11,121620,121620,109305
a_e,2016-12,123645,123645,110695
a_e,2017-01,123305,123305,110600
a_e,2017-02,113640,113640,102565
a_e,2017-03,132635,132635,118540
a_e,2017-04,129000,129000,114760
a_e,2017-05,142680,142680,126920
a_e,2017-06,131535,131535,117520
a_e,2017-07,129435,129435,115050
a_e,2017-08,132810,132810,118255
a_e,2017-09,134360,134360,119730
a_e,2017-10,132365,132365,118285
a_e,2017-11,127830,127830,114195
a_e,2017-12,136075,136075,121030
a_e,2018-01,124970,124970,111440
a_e,2018-02,117695,117695,105205
a_e,2018-03,133065,133065,118165
a_e,2018-04,132530,132530,117950
a_e,2018-05,144610,144610,128510
a_e,2018-06,138790,138790,123420
a_e,2018-07,137730,137730,121855
a_e,2018-08,136575,136575,121210
a_e,2018-09,134170,134170,119420
a_e,2018-10,133340,133340,118570
a_e,2018-11,131525,131525,116795
a_e,2018-12,133460,133460,118290
a_e,2019-01,135380,135380,120060
a_e,2019-02,126010,126010,112320
a_e,2019-03,139115,139115,123415
a_e,2019-04,139880,139880,123400
a_e,2019-05,144100,144100,127635
a_e,2019-06,140590,140590,124360
a_e,2019-07,142530,142530,125785
a_e,2019-08,144555,144555,127295
a_e,2019-09,143955,143955,127815
a_e,2019-10,140860,140860,124860
a_e,2019-11,136715,136715,121445
a_e,2019-12,135805,135805,120555
a_e,2020-01,134690,134690,119675
a_e,2020-02,123835,123835,110645
a_e,2020-03,99625,99625,89310
a_e,2020-04,67255,67255,60505
a_e,2020-05,90320,90320,80530
a_e,2020-06,102375,102375,91250
a_e,2020-07,111895,111895,99485
a_e,2020-08,121445,121445,107760
a_e,2020-09,114575,114575,102155
a_e,2020-10,106625,106625,95215
a_e,2020-11,105645,105645,89570
a_e,2020-12,103275,103275,86190
a_e,2021-01,99660,99660,81490
a_e,2021-02,92505,92505,76470
a_e,2021-03,118365,118365,97220
a_e,2021-04,159765,159765,107470
a_e,2021-05,174945,174945,118890
a_e,2021-06,171130,171130,125695
a_e,2021-07,172430,172430,120835
a_e,2021-08,180290,180290,123480
a_e,2021-09,150735,150735,120515
a_e,2021-10,140215,140215,114495
a_e,2021-11,136180,136180,110700
a_e,2021-12,128480,128480,103525
a_e,2022-01,130475,130475,103695
a_e,2022-02,128300,128300,103315
a_e,2022-03,150975,150975,119810
a_e,2022-04,141375,141375,112340
a_e,2022-05,160225,160225,126215
a_e,2022-06,156015,156015,122295
a_e,2022-07,150530,150530,116030
a_e,2022-08,165250,165250,121340
a_e,2022-09,153470,153470,119085
a_e,2022-10,146820,146820,117430
a_e,2022-11,144670,144670,115385
a_e,2022-12,145440,145440,117285
a_e,2023-01,128315,128315,105020
a_e,2023-02,112395,112395,97380
a_e,2023-03,12175,12175,11290
cog_uk_metadata,2020-01,10,10,10
cog_uk_metadata,2020-02,10,10,10
cog_uk_metadata,2020-03,1345,1345,1345
cog_uk_metadata,2020-04,2880,2880,2875
cog_uk_metadata,2020-05,930,930,925
cog_uk_metadata,2020-06,115,115,115
cog_uk_metadata,2020-07,75,75,70
